"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SZDI6FIT","journalArticle","2023","Braga, Thaís Luciana Correa; Marinho, Sandra","JOURNALISTIC NARRATIVES ABOUT THE “DAY OF FIRE”: a Luso-Brazilian perspective on the Amazon","Brazilian journalism research","","1981-9854, 1808-4079","10.25200/BJR.v19n1.2023.1582","https://bjr.sbpjor.org.br/bjr/article/view/1582","ABSTRACT – The “day of fire” in the Amazon refers to forest fires allegedly caused by farmers in the state of Pará, Brazil, in 2019. This article aims to identify and understand the strategies for constructing journalistic narratives about this event. Folha de S.Paulo (Brazil) and Público (Portugal) were the newspapers selected for the observation and analysis of the case. As data collection techniques/tools, an analysis grid was used (direct observation), and semi-structured interviews with journalists involved in the case coverage (indirect observation). The pragmatic analysis of the journalistic narrative was applied to the discoursive analysis. The results show that, in the Brazilian newspaper, the conflict was structured with a beginning, middle, and end, and produced the sense that environmental crimes in the Amazon remain unpunished. In the Portuguese newspaper, the conflict ended in anticlimax and created the feeling that it was necessary to save the Amazon for the next generations. RESUMO – O “dia do fogo” na Amazônia refere-se aos incêndios florestais alegadamente provocados por agropecuaristas do Estado do Pará, no Brasil, em 2019. Neste artigo pretende-se identificar e compreender as estratégias de construção das narrativas jornalísticas sobre este acontecimento. Foram selecionados os jornais Folha de S.Paulo (Brasil) e Público (Portugal) para a observação e análise do caso. Como técnicas/instrumentos de recolha dos dados, recorreu-se a uma grelha de análise (observação direta) e entrevistas semiestruturadas com jornalistas envolvidos na cobertura do caso (observação indireta). Para a análise discursiva, operacionalizou-se a análise pragmática da narrativa jornalística. Os resultados revelam que, no jornal brasileiro, o conflito foi estruturado com começo, meio e fim, bem como produziu o sentido de que os crimes ambientais na Amazônia ficam impunes. Já no jornal português, o conflito terminou em anticlímax e produziu o sentido de que é preciso salvar a Amazônia para as próximas gerações. RESUMEN – El “día del fuego” en la Amazonía se refiere a los incendios forestales supuestamente provocados por agricultores en el estado de Pará, Brasil, en 2019. Este artículo tiene como objetivo identificar y comprender las estrategias para construir narrativas periodísticas sobre este evento. Folha de S.Paulo (Brasil) y Público (Portugal) fueron los periódicos seleccionados para la observación y análisis del caso. Como técnicas/herramientas de recolección de datos se utilizó una matriz de análisis (observación directa) y entrevistas semiestructuradas a periodistas involucrados en la cobertura del caso (observación indirecta). El análisis pragmático de la narrativa periodística se aplicó al análisis discursivo. Los resultados muestran que, en el diario brasileño, el conflicto se estructuró con un principio, un medio y un final, y produjo la sensación de que los crímenes ambientales en la Amazonía quedan impunes. En el diario portugués, el conflicto terminó en anticlímax y creó la sensación de que era necesario salvar la Amazonía para las próximas generaciones.","2023-04-29","2025-05-04 22:24:12","2025-05-04 22:24:12","2025-05-04 22:24:12","e1582","","1","19","","BJR","JOURNALISTIC NARRATIVES ABOUT THE “DAY OF FIRE”","","","","","","","","http://creativecommons.org/licenses/by-nc-nd/4.0","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/YGKKY3ED/Braga and Marinho - 2023 - JOURNALISTIC NARRATIVES ABOUT THE “DAY OF FIRE” a Luso-Brazilian perspective on the Amazon.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KKGUQ9WA","journalArticle","2024","Ludwig, Fernando José; Sposito, Italo Beltrão; Pereira, Thiago Nilton Alves","ANALYSING THE NOTICES OF VIOLATION ISSUED BY IBAMA, AND THE ACTIONS TAKEN BY THE TJTO IN RELATION TO ENVIRONMENTAL CRIMES IN THE TOCANTINS, BRAZIL.","DESAFIOS - Revista Interdisciplinar da Universidade Federal do Tocantins","","2359-3652","10.20873/2024_jul_20137","https://sistemas.uft.edu.br/periodicos/index.php/desafios/article/view/20137","This study investigated the relationship between the notices of violation issued by the Brazilian Institute of Environment and Renewable Natural Resources (IBAMA) and subsequent judicial processes in the Court of Justice of the State of Tocantins (TJTO), focusing on environmental crimes in the Legal Amazon, especially in the state of Tocantins. Using a mixed-methods approach, the IBAMA and TJTO databases were analyzed through descriptive and inferential statistics, employing tools such as R Studio and Jupyter (Python) for data processing and mapping. The results revealed a negative correlation of -0.31 between the number of violations recorded by the IBAMA and the number of judicial processes in the TJTO. Qualitative analysis served to complement and evaluate the statistical results. Areas with a high incidence of environmental crimes were identified, mainly concentrated in the agricultural frontier regions and logging areas in Tocantins. This research highlights the importance of inter-institutional collaboration between IBAMA and TJTO to enhance the effectiveness of enforcement and legal proceedings. The limited capacity of the TJTO to process all cases of environmental crimes was identified as a factor influencing the observed negative correlation, indicating the need for more robust strategies to integrate administrative sanctions with judicial processes. The study concludes that to improve environmental governance in the Legal Amazon, it is essential to invest in advanced monitoring technologies and provide continuous training to professionals involved in the enforcement and prosecution of environmental crimes. The implementation of more effective and integrated public policies is also crucial for addressing the challenges posed by environmental protection in the region. This research reinforces the need for a multidimensional and collaborative approach to preserve natural resources and promote sustainability in the Legal Amazon.","2024-07-30","2025-05-04 22:24:17","2025-05-04 22:24:17","2025-05-04 22:24:17","","","5","11","","DRIUFT","","","","","","","","","http://creativecommons.org/licenses/by-nc/4.0","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/T2GLA6J6/Ludwig et al. - 2024 - ANALYSING THE NOTICES OF VIOLATION ISSUED BY IBAMA, AND THE ACTIONS TAKEN BY THE TJTO IN RELATION TO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HQ78K97L","journalArticle","2018","Seixas, Gláucia Helena Fernandes; Mourão, Guilherme","Communal roosts of the Blue-fronted Amazons (Amazona aestiva) in a large tropical wetland: Are they of different types?","PLOS ONE","","1932-6203","10.1371/journal.pone.0204824","https://dx.plos.org/10.1371/journal.pone.0204824","","2018-10-17","2025-05-04 22:24:23","2025-05-04 22:24:23","2025-05-04 22:24:23","e0204824","","10","13","","PLoS ONE","Communal roosts of the Blue-fronted Amazons (Amazona aestiva) in a large tropical wetland","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/WMMBEKXU/Seixas and Mourão - 2018 - Communal roosts of the Blue-fronted Amazons (Amazona aestiva) in a large tropical wetland Are they.pdf","","","","Cañedo-Argüelles Iglesias, Miguel","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NVMH9J2B","journalArticle","2021","Giordani, Isabela Aparecida; Busatta, Eduarda; Bonfim, Elizeu; Oliveira Filho, Luís Carlos Iuñes; Baretta, Dilmar; Baretta, Carolina Riviera Duarte Maluche","Effect of toxicity in Folsomia candida by the use of fungicide and insecticide in subtropical soil","Revista Brasileira de Ciências Ambientais","","2176-9478, 1808-4524","10.5327/Z2176-947820200692","https://www.rbciamb.com.br/Publicacoes_RBCIAMB/article/view/692","Pesticides are widely used for control and prevention against agricultural pests and diseases. The use of these products can negatively affect non-target organisms with important role in soil such as springtails. The present study aimed to evaluate the toxicity of two commercial formulations of pesticides on soil fauna using the springtail Folsomia candida. A natural soil classified as Inceptisol, characteristic of the western region of the Santa Catarina State, was used. The treatments in both tests consisted of six concentrations of the fungicide Comet® (a.i. pyraclostrobin) (0.35; 0.70; 1.40; 2.10; 2.80 and 4.00 mg kg-1 of soil) and of the fungicide + insecticide Standak®Top (a.i. pyraclostrobin + thiophanate-methyl + fipronil) (0.20; 0.60; 1.20; 1.80; 2.40 and 3.00 mg kg-1 soil), plus the control treatment. Acute and chronic tests were carried out following ISO guidelines. Both products proved to be toxic to the evaluated species. Lethality effects were observed in relation to the control of the organisms exposed to low concentrations of the fungicide (0.35 mg kg-1 soil); while for the fungicide + insecticide formulation, lethality was observed at higher concentrations, from 2.40 mg kg-1 soil (LC50 > 3.00 mg kg-1 soil). The reproductive rate was affected only in organisms exposed to the fungicide, with a reduction in the number of juveniles at concentration from 4.00 mg kg-1 soil, with EC20 of 3.38 mg kg-1 soil (2.79–3.96). The results indicate that springtails are sensitive to the tested products, especially to the fungicide that contains the highest concentration of pyraclostrobin in the composition.","2021-02-04","2025-05-04 22:24:26","2025-05-04 22:24:26","2025-05-04 22:24:26","91-98","","1","56","","Rev. Bras. Ciênc. Ambient.","","","","","","","","","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/CENDIJ8V/Giordani et al. - 2021 - Effect of toxicity in Folsomia candida by the use of fungicide and insecticide in subtropical soil.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CQPPZGBY","journalArticle","2005","Ramírez, María Clemencia","Construction and Contestation of Criminal Identities: The Case of the “Cocaleros” in the Colombian Western Amazon","Journal of Drug Issues","","0022-0426, 1945-1369","10.1177/002204260503500103","https://journals.sagepub.com/doi/10.1177/002204260503500103","Peasants who settled in the Colombian Amazon region as a result of different waves of migration, and who today grow coca, have been stigmatized as criminals with no regional identity. The central state does not accord them a place within national society except as guerrilla auxiliaries or drug traffickers. As such, they can be the object of state violence. The collective identities in the Amazon region are shaped by the sense of exclusion from and abandonment by the central state, and politicized identities emerge as a protest against exclusion and misrecognition.","2005-01","2025-05-04 22:24:28","2025-05-04 22:24:28","2025-05-04 22:24:28","57-82","","1","35","","Journal of Drug Issues","Construction and Contestation of Criminal Identities","","","","","","","en","https://journals.sagepub.com/page/policies/text-and-data-mining-license","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XFCHPD8C","journalArticle","2016","De Labra-Hernández, Miguel Ángel; Renton, Katherine","Importance of Large, Old Primary Forest Trees in Nest-Site Selection by the Northern Mealy Amazon ( <i>Amazona guatemalae</i> )","Tropical Conservation Science","","1940-0829, 1940-0829","10.1177/1940082916680361","https://journals.sagepub.com/doi/10.1177/1940082916680361","The increasing conversion of primary tropical moist forest to secondary forest may have consequences for threatened, large-bodied cavity-nesters, such as the Northern Mealy Amazon ( Amazona guatemalae). We determined availability and characteristics of tree-cavities in 24 1-ha survey plots in Los Chimalapas, southeast Mexico, with 9 plots in evergreen forest, 7 in riparian, and 8 in secondary forest. We compared these with 40 parrot nest-trees to determine whether parrots select cavities with specific characteristics for nesting. Over half of Northern Mealy Amazon nests occurred in live trees of Terminalia amazonia (32.5%) and Dialium guianense (20%). Compared with available cavities, the Northern Mealy Amazon selected nest-cavities in significantly larger trees, at a greater height above the ground, with larger internal diameter, and greater depth. In particular, internal diameter and cavity depth predicted whether a cavity was selected as a nest-site by parrots. We found a low density of 2.3 available cavities/ha in the study site, although only 1.6 cavities/ha had characteristics suitable for use as nest-sites by parrots. Cavities in secondary forest occurred in smaller trees, at a lower height, and with shallower depth, where only 0.75 cavities/ha were suitable for nesting by parrots. Our results demonstrate that the Northern Mealy Amazon requires nest-cavities in large, old trees able to form large cavities, the majority of which occur in primary forest. The low density of suitable nest-sites for parrots in secondary forest suggests that increased degradation of primary tropical moist forest may have long-term implications for reproduction of this threatened species.","2016-10","2025-05-04 22:24:29","2025-05-04 22:24:29","2025-05-04 22:24:29","1940082916680361","","4","9","","Tropical Conservation Science","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/BLHWKPKP/De Labra-Hernández and Renton - 2016 - Importance of Large, Old Primary Forest Trees in Nest-Site Selection by the Northern Mealy Amazon (.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8768F6NG","journalArticle","2017","Lambert, Caitlin","Environmental Destruction in Ecuador: Crimes Against Humanity Under the Rome Statute?","Leiden Journal of International Law","","0922-1565, 1478-9698","10.1017/S0922156517000267","https://www.cambridge.org/core/product/identifier/S0922156517000267/type/journal_article","Abstract             On 16 March 2016, the Prosecutor of the International Criminal Court (ICC) rejected on jurisdictional grounds a victims’ request to investigate a case of environmental destruction by Chevron in Ecuador. A little over a year later, on 15 September 2016, the Prosecutor released a policy paper indicating that her office would consider hearing cases of environmental destruction. This article examines how the ICC can prosecute environmental destruction as a crime against humanity under Article 7 of the Rome Statute. It presents a survey of the potential jurisdictional and substantive issues of prosecuting environmental issues and uses the victims’ request asking the Prosecutor to investigate environmental destruction by Chevron in the Ecuadorian Amazon as a backdrop. The article proceeds in three parts. Firstly, it discusses the request by the victims in Ecuador asking for the Prosecutor to investigate. Secondly, it sets out the basic jurisdictional framework of the ICC and analyzes why the Prosecutor rejected the victims’ request. Thirdly, it examines Article 7 and concludes that while peacetime environmental destruction committed by a non-state actor that results in a humanitarian atrocity can qualify as a crime against humanity, the factual circumstances alleged in the Ecuadorian victims’ request did not amount to a crime against humanity under the Rome Statute.","2017-09","2025-05-04 22:24:31","2025-05-04 22:24:31","2025-05-04 22:24:31","707-729","","3","30","","Leiden Journal of International Law","Environmental Destruction in Ecuador","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TCATN8GK","journalArticle","2018","Couto, Aiala Colares","Territórios-rede e territórios-zona do narcotráfico na metrópole de Belém","GeoTextos","","1984-5537, 1809189X","10.9771/geo.v14i1.26315","https://portalseer.ufba.br/index.php/geotextos/article/view/26315","A Amazônia vem nestas últimas décadas se destacado enquanto uma área geográfica de grande importância para a conexão global do crime. Nesse contexto, as cidades da Amazônia, sobretudo, as metrópoles de Belém e Manaus, onde territorialidades alternativas vêm se configurando como substrato espacial. Este artigo tem como proposta objetiva analisar os territórios-rede e territórios-zona do narcotráfico na metrópole de Belém. Esta pesquisa é parte dos resultados de tese de doutorado defendida no Programa de Pós-Graduação em Desenvolvimento Sustentável do Trópico Úmido. A metodologia utilizada neste trabalho se baseou em pesquisa bibliográfica, análise documental, trabalhos de campo e observações sistemáticas. Os territórios do narcotráfico em Belém são configurações geográficas que marcam a história dos conflitos urbanos na atualidade. Abstract NETWORK-TERRITORIES AND ZONE-TERRITORIES OF NARCOTRAFFIC ON THE METROPOLIS OF BELÉM In the past decades, Amazon has emerged as a geographical area of great importance for the global connection of crime. In this context, the cities of the Amazon, above all, the metropolises Belém and Manaus, where alternative territorialities are becoming a spacial substrate. This article has the objective of analyze the network-territories and zone territories of narcotraffic in the metropolis of Belém. This research is part of the result from a doctoral thesis defended in the Postdoctoral Program in Sustainable Development of the Humid Tropics. This work’s methodology is based on bibliographic research, documentary analysis, field work and systematic observations. The territories of narcotraffic in Belém are geographical configurations that mark the history of today’s urban conflicts.","2018-07-15","2025-05-04 22:24:32","2025-05-04 22:24:32","2025-05-04 22:24:32","","","1","14","","Geo","","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/TVQZEBW6/Couto - 2018 - Territórios-rede e territórios-zona do narcotráfico na metrópole de Belém.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C9FDX9PA","journalArticle","2017","Ungar, Mark","Prosecuting Environmental Crime: Latin America's Policy Innovation","Latin American Policy","","2041-7365, 2041-7373","10.1111/lamp.12116","https://onlinelibrary.wiley.com/doi/10.1111/lamp.12116","Why does Latin America struggle to implement even its increasingly strong and broadly supported environmental polices? To answer that question, this article examines the primary tool of enforcement, environmental prosecution, one of the region's newest and most‐innovative developments in policy and institutional reform. It creates an analytical framework that explains how the two pillars of prosecution, the state and the law, are also its two main weaknesses. Within the state, it examines deficiencies in investigation and resources. Within the law, it focuses on the lack of clarity in laws and in policy regulations that support them. Together, these common and inherent policy challenges make it difficult for governments throughout Latin America to halt crimes such as illegal deforestation, mining, and road building. The article develops a way to understand comparatively how ably policies are supported in practice. Empirically, it draws on five years of fieldwork in the region's two main tropical areas, Central America and the Amazon Basin. In addition to its concrete policy assessments and recommendations, the article brings a new dimension to the study of the state in Latin America and to the field of criminology.           ,              ¿Por qué América Latina sufre incluso para implementar las políticas ambientales más sólidas y generalmente aceptadas? Para responder a esta pregunta, este artículo examina la herramienta principal de cumplimiento legal, el enjuiciamiento ambiental, uno de los desarrollos más nuevos y más innovadores de la región respecto a la reforma política e institucional. Crea un marco analítico que explica cómo los dos pilares del enjuiciamiento, el Estado y la ley, también son sus principales debilidades. Respecto al Estado, examina las deficiencias en las investigaciones y los recursos. Respecto a la ley, se enfoca en la falta de claridad en las leyes y en las normas que las apoyan. En conjunto, estos retos comunes e intrínsecos complican el proceso de frenar los crímenes como la tala ilegal, la minería ilegal y la construcción no permitida de caminos en América Latina. El artículo desarrolla una manera de comprender de forma comparada qué tanto se apoyan las políticas en la práctica. De forma empírica, presenta cinco años de trabajo de campo en las dos principales zonas tropicales de la región, América Central y la cuenca del Amazonas. Además de evaluaciones de políticas y de recomendaciones, el artículo aporta una nueva dimensión al estudio del Estado en América Latina y al campo de la criminología.           ,              尽管拉丁美洲的环境政策越来越严格且广受欢迎, 为何拉美还要努力实施该政策？为回答这一问题, 本文检验了执法的主要工具—环境公诉, 它是该地区政策和制度改革中最新且最创新的发展结果。它建立了一项分析框架, 用于解释为什么起诉的两大支柱—国家和法律, 同时也是它的两大主要缺点。在国家范围内, 检验了调查和资源所存在的不足；在法律范围内, 研究了缺乏清晰的法律和缺乏用于支持法律的政策规定。这些常见且固有的政策挑战使拉丁美洲政府很难阻止犯罪, 例如森林开伐、采矿和道路建设。本文开发了一种方法来对比理解不同政策在实践中受到的支持程度。从实证上讲, 借鉴了研究该区域两大主要热带地区—中美洲和亚马孙盆地的五年实地调查。除了具体的政策评估和建议, 本文还引入了新视角, 用于研究拉丁美洲国家和犯罪学领域。","2017-06","2025-05-04 22:24:34","2025-05-04 22:24:34","2025-05-04 22:24:34","63-92","","1","8","","Latin American Policy","Prosecuting Environmental Crime","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CI7TJG68","journalArticle","2023","Walker, Stephen P.","The blindfold witness? An accountant's response to slavery and atrocity in the Devil's Paradise","The British Accounting Review","","08908389","10.1016/j.bar.2021.101068","https://linkinghub.elsevier.com/retrieve/pii/S0890838921000949","","2023-05","2025-05-04 22:24:34","2025-05-04 22:24:34","2025-05-04 22:24:34","101068","","3","55","","The British Accounting Review","The blindfold witness?","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/CVIZBUQC/Walker - 2023 - The blindfold witness An accountant's response to slavery and atrocity in the Devil's Paradise.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBIEI2L2","journalArticle","2024","Costa, Vinicius Otavio Benoit; Koehler, Henrique Soares; Robert, Renato Cesar Gonçalves","Characterization of technical and legal irregularities in management plans in the Brazilian Amazon","Trees, Forests and People","","26667193","10.1016/j.tfp.2024.100548","https://linkinghub.elsevier.com/retrieve/pii/S2666719324000554","","2024-06","2025-05-04 22:24:37","2025-05-04 22:24:37","2025-05-04 22:24:37","100548","","","16","","Trees, Forests and People","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZFT5ZVQ","journalArticle","2022","Rodrigues, Jondison Cardoso; Campos, Raione Lima; Santana, José Raimundo","Environmental defenders suffering death threats and ""under protection"" in the state of Pará, Eastern Amazonia, Brazil","Journal of Political Ecology","","1073-0451","10.2458/jpe.4692","http://journals.librarypublishing.arizona.edu/jpe/article/id/4692/","Latin America has a long history of extractive and exploitative territorial activities, dating back to the colonial era. However, in the last decade there has been a steep increase in these activities, and in socio-environmental conflicts, in Latin America. There are indications of the links between the exploitation of natural resources and the violation of human rights, which materializes in the Amazon through the increase of expulsions and evictions of families, assassination attempts, murders, illegal imprisonments, intimidation, and threats. The main targets of these crimes are leaders who head the struggle to defend the rights of collectivities to land and territory, the environment, human rights and their multiple cultural and life expressions. The state of Pará (Eastern Amazonia) has appeared in the last decade as one of the states in Brazil with the highest incidence of cases of land conflicts, assassinations, aggression, defamation, and death threats directed against community leaders and environmental defenders. Thus, this article aims to quantify, characterize and reflect on the environmental defenders and community leaders suffering death threats and under legal protection in the state of Pará, Eastern Amazonia (between 2014 and 2020). It also seeks to identify the main activities and sectors that threaten these groups and the reasons behind the intensification of threats in recent years.","2022-06-27","2025-05-04 22:24:40","2025-05-04 22:24:40","2025-05-04 22:24:40","","","1","29","","","","","","","","","","","https://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/WYV4A4AS/Rodrigues et al. - 2022 - Environmental defenders suffering death threats and under protection in the state of Pará, Eastern.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78SVHQJ3","journalArticle","2022","Coelho, Caroliny Almeida; Maciel, Jefferson Rodrigues; Cabral, Fernanda Nunes; Amorim, Bruno Sampaio","Anatomy of a crime: the network of actions that threaten the conservation of the Amazon","Biodiversity and Conservation","","0960-3115, 1572-9710","10.1007/s10531-022-02424-7","https://link.springer.com/10.1007/s10531-022-02424-7","","2022-05","2025-05-04 22:24:44","2025-05-04 22:24:44","2025-05-04 22:24:44","1755-1763","","5-6","31","","Biodivers Conserv","Anatomy of a crime","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8PX578LQ","journalArticle","1995","Millam, J. R.; Kenton, B.; Jochim, L.; Brownback, T.; Brice, A. T.","Breeding orange‐winged Amazon parrots in captivity","Zoo Biology","","0733-3188, 1098-2361","10.1002/zoo.1430140308","https://onlinelibrary.wiley.com/doi/10.1002/zoo.1430140308","Abstract                            Captive propagation of parrots for the companion bird trade provides a potential means of reducing the economic incentive to capture these birds from the wild. To test whether environmental and social manipulations might stimulate reproduction in captive, wild‐caught orange‐winged Amazon parrots (               Amazona amazonica               ), we compared reproductive performance in pairs presented with nest boxes (controls) or nest boxes plus additional environmental and social manipulations (enriched group) consisting of misting, fruit supplementation, nest hole restriction, enlarged nest boxes, and pair separation/reunification. In the first breeding trial, in 1990, enriched pairs were more likely to lay eggs (six of seven enriched pairs vs. one of eight control pairs;               P               < 0.09). When treatments were reversed the following years (e.g., 1990 controls were exposed to enriched conditions in 1991), reproductive performance was not different between the groups (four of seven enriched pairs laid eggs vs. five of seven control pairs), although three pairs in the 1991 enriched group laid eggs which had not laid eggs before. These results are consistent with the idea that while enriched environments may enhance the probability of a first episode of egg laying in captivity, once pairs have laid eggs in captivity, little stimulation beyond that provided by nest box presentation is required to reinitiate egg laying. The environmental and social manipulations of the enriched conditions could be useful in increasing reproductive performance of captive Amazon parrots for the companion bird trade. © 1995 Wiley‐Liss, Inc.","1995-01","2025-05-04 22:24:45","2025-05-04 22:24:45","2025-05-04 22:24:45","275-284","","3","14","","Zoo Biology","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q8PGS57E","journalArticle","2022","Perz, Stephen G.; Mendoza, Elsa R.H.; Dos Santos Pimentel, Alan","Seeing the broader picture: Stakeholder contributions to understanding infrastructure impacts of the Interoceanic Highway in the southwestern Amazon","World Development","","0305750X","10.1016/j.worlddev.2022.106061","https://linkinghub.elsevier.com/retrieve/pii/S0305750X22002510","","2022-11","2025-05-04 22:24:46","2025-05-04 22:24:46","2025-05-04 22:24:46","106061","","","159","","World Development","Seeing the broader picture","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PM48AUYE","journalArticle","2021","Cabral De Oliveira, Eduardo Frederico; Oliveira Júnior, José Francisco De; Silva, José Augusto Ferreira Da","Legal Amazon, sustainable use and environmental surveillance “systems”: historical legacy and future prospects","Revista Brasileira de Ciências Ambientais","","2176-9478, 1808-4524","10.5327/Z2176-947820200680","https://www.rbciamb.com.br/Publicacoes_RBCIAMB/article/view/680","Tropical rainforests are among the most endangered biomes on the planet. They have become the new frontiers for capital expansion, both for the production of agricultural commodities and the exploitation of their natural resources. This article seeks to analyze how the command and control system is being practiced on one of such tropical rainforests, namely the Brazilian Amazon. To achieve the objectives set in the research, exploratory/descriptive methods of qualitative and quantitative approach were carried out through field research and literature review on the subject. In addition, we evaluated the publications that best described the “state of the art” of the theme, always aiming at the quality and comprehensiveness of research by bibliometric mining and field survey through questionnaires administered to military police corporations. While examining the environmental protection agencies and law enforcement agencies, both from Union and the states that make up the Legal Amazon, the conclusion was that all of them devote very little material resources to effective forest protection, and that human resources are infinitely smaller than those recommended by other international nature protection organizations. Moreover, the structure in charge of investigating environmental crimes in the states is either poor or non-existent, and distant from the main regions of deforestation and other environmental crimes, something which favors impunity. It is concluded that the lack of structure of command and control bodies in the Amazon threatens the sustainability of the ecosystem, the economy and the society on local, regional, and global levels.","2021-02-04","2025-05-04 22:24:47","2025-05-04 22:24:47","2025-05-04 22:24:47","49-64","","1","56","","Rev. Bras. Ciênc. Ambient.","Legal Amazon, sustainable use and environmental surveillance “systems”","","","","","","","","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/34MLKKXP/Cabral De Oliveira et al. - 2021 - Legal Amazon, sustainable use and environmental surveillance “systems” historical legacy and future.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8JPFNRWV","journalArticle","2011","Dávalos, Liliana M.; Bejarano, Adriana C.; Hall, Mark A.; Correa, H. Leonardo; Corthals, Angelique; Espejo, Oscar J.","Forests and Drugs: Coca-Driven Deforestation in Tropical Biodiversity Hotspots","Environmental Science & Technology","","0013-936X, 1520-5851","10.1021/es102373d","https://pubs.acs.org/doi/10.1021/es102373d","","2011-02-15","2025-05-04 22:24:52","2025-05-04 22:24:52","2025-05-04 22:24:52","1219-1227","","4","45","","Environ. Sci. Technol.","Forests and Drugs","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YMU2K5EQ","journalArticle","2023","Schmutz, Rita","Infrastructure-Driven Development: The Local Social Impact of a Large Hydropower Plant in the Amazon","The Journal of Development Studies","","0022-0388, 1743-9140","10.1080/00220388.2023.2197545","https://www.tandfonline.com/doi/full/10.1080/00220388.2023.2197545","","2023-08-03","2025-05-04 22:24:53","2025-05-04 22:24:53","2025-05-04 22:24:53","1123-1143","","8","59","","The Journal of Development Studies","Infrastructure-Driven Development","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/rudi/Zotero/storage/8TWPB5MY/Schmutz - 2023 - Infrastructure-Driven Development The Local Social Impact of a Large Hydropower Plant in the Amazon.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
